Brand, Product Name, Price, Shipping
GIGABYTE,GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card/ PCIe 3.0/ 8GB 256-Bit GDDR5/ GV-RX580GAMING-8GD REV2.0 Video Card,$219.99 (3 Offers),$6.99 Shipping
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$449.99 (8 Offers),Free Shipping
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$440.98 (7 Offers),Special Shipping
MSI,MSI GeForce GT 1030 DirectX 12 GT 1030 2G LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,$84.99 (17 Offers),$1.99 Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-A8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$734.99 (2 Offers),Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SWF3-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$899.99 (2 Offers),Free Shipping
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$355.15 (7 Offers),Free Shipping
MSI,MSI GeForce GT 710 DirectX 12 GT 710 1GD3H LP 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,$29.99 (22 Offers),Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING OC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$484.99 (4 Offers),Free Shipping
ASUS,ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING),$378.99 (5 Offers),$45.00 Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$685.99 (2 Offers),Free Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$179.99 (6 Offers),$6.99 Shipping
ASUS,ASUS Turbo GeForce RTX 2080 SUPER TURBO-RTX2080S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$1,249.99 (2 Offers),Free Shipping
EVGA,EVGA 200 GeForce 210 DirectX 10.1 01G-P3-1312-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,$38.84 (19 Offers),Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card/ 2 x WINDFORCE Fans/ 6GB 192-Bit GDDR6/ GV-N166TOC-6GD Video Card,$335.99 (6 Offers),$99.99 Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$689.99 (3 Offers),Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$246.99 (6 Offers),Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 DirectX 12 TUF-RTX3070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,,
ASUS,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$709.99 (2 Offers),Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 2060 Super 8G Graphics Card/ WINDFORCE Stack/ 8GB 256-Bit GDDR6/ GV-N206SAORUS-8GC Video Card,$772.99 (4 Offers),Free Shipping
EVGA,EVGA GeForce GT 710 DirectX 12 02G-P3-2717-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Card,$50.65 (18 Offers),Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$739.00 (3 Offers),Free Shipping
